Actual;Prediction;SHAP Precision;SHAP Recall;LIME Precision;LIME Recall;ACV Precision;ACV Recall;SHAP Correlation;LIME Correlation;ACV Correlation
17;17.55;1.0;1.0;1.0;1.0;0.0;0.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
17;17.55;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
14;13.045454545454545;1.0;0.2;1.0;0.2;1.0;0.2;0.6429479547156064;0.10827297909695582;0.39799497484264795
11;11.258064516129034;1.0;0.3333333333333333;0.0;0.0;1.0;0.3333333333333333;0.5354950156209782;0.22012375952427554;0.5591637992491763
16;15.702702702702705;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
17;17.55;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;1.0
9;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.43660202195715697;0.12725857064194093;0.15100081332100004
11;10.125;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5403314186293834;0.2721707030318896;0.43371022596953845
13;12.5;1.0;0.125;1.0;0.125;1.0;0.125;0.7841728948043412;0.2306446677427605;0.24003319206962492
9;8.304347826086957;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5354950156209782;0.1480142520939094;0.5824823725107174
10;10.125;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5403314186293834;0.2417180369583915;0.3625526557849732
7;8.304347826086957;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5419467627971346;0.3187999275868818;0.3071014475397925
10;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.4444687250554841;0.1781619988987173;0.4888937174926598
10;10.025641025641026;1.0;0.5;1.0;0.5;1.0;0.5;0.43660202195715697;0.2429481803164327;0.2503118091806574
16;15.702702702702705;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
10;9.28;1.0;0.3333333333333333;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5403314186293834;0.28359045280945144;0.2939426860644024
14;14.615384615384615;1.0;1.0;1.0;1.0;0.0;0.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
16;15.702702702702705;1.0;1.0;1.0;1.0;1.0;1.0;0.31567443616857804;0.18569533817705186;0.7008766440504623
